t,seg,rx,ry,rz,fx,fy,fz
7706.9051,0,0.31961,0.17968,0.22811,0.32122,0.18138,0.22761
7706.9374,0,0.31901,0.17870,0.22808,0.32056,0.18058,0.22775
7706.9725,0,0.31825,0.17905,0.22789,0.31987,0.18012,0.22779
7707.0035,0,0.31906,0.17875,0.22755,0.31963,0.17971,0.22772
7707.0341,0,0.31983,0.17839,0.22710,0.31969,0.17931,0.22753
7707.0711,0,0.32090,0.17900,0.22670,0.32005,0.17922,0.22728
7707.1032,0,0.32067,0.17906,0.22662,0.32024,0.17917,0.22708
7707.1342,0,0.32016,0.17876,0.22659,0.32022,0.17905,0.22694
7707.1706,0,0.31973,0.17790,0.22666,0.32007,0.17870,0.22686
7707.2030,0,0.31918,0.17732,0.22676,0.31980,0.17829,0.22683
7707.2383,0,0.31800,0.17690,0.22699,0.31926,0.17787,0.22688
7707.2707,0,0.31874,0.17606,0.22707,0.31910,0.17733,0.22693
7707.3038,0,0.31942,0.17585,0.22692,0.31920,0.17689,0.22693
7707.3397,0,0.31987,0.17568,0.22695,0.31940,0.17652,0.22694
7707.3756,0,0.31981,0.17582,0.22705,0.31952,0.17631,0.22697
7707.4067,0,0.31958,0.17603,0.22720,0.31954,0.17623,0.22704
7707.4388,0,0.32104,0.17596,0.22713,0.31999,0.17615,0.22707
7707.4703,0,0.32182,0.17598,0.22726,0.32054,0.17610,0.22713
7707.5032,0,0.32052,0.17556,0.22795,0.32053,0.17594,0.22737
7707.5349,0,0.32030,0.17477,0.22829,0.32046,0.17559,0.22765
7707.5741,0,0.31935,0.17410,0.22882,0.32013,0.17514,0.22800
7707.6072,0,0.31718,0.17221,0.22893,0.31925,0.17426,0.22828
7707.6439,0,0.31670,0.17081,0.22876,0.31848,0.17322,0.22843
7707.6762,0,0.31787,0.16955,0.22805,0.31830,0.17212,0.22831
7707.7091,0,0.31875,0.16856,0.22760,0.31843,0.17105,0.22810
7707.7446,0,0.31959,0.16679,0.22698,0.31878,0.16977,0.22776
7707.7745,0,0.31946,0.16458,0.22718,0.31899,0.16821,0.22759
7707.8063,0,0.31824,0.16331,0.22683,0.31876,0.16674,0.22736
7707.8379,0,0.31778,0.16193,0.22662,0.31847,0.16530,0.22714
7707.8745,0,0.31737,0.15963,0.22694,0.31814,0.16360,0.22708
7707.9079,0,0.31837,0.15601,0.22694,0.31821,0.16132,0.22704
7707.9392,0,0.32024,0.15315,0.22642,0.31882,0.15887,0.22685
7707.9714,0,0.32120,0.15028,0.22602,0.31953,0.15629,0.22660
7708.0050,0,0.32075,0.14658,0.22575,0.31990,0.15338,0.22635
7708.0366,0,0.32390,0.14338,0.22495,0.32110,0.15038,0.22593
7708.0725,0,0.32622,0.14065,0.22462,0.32264,0.14746,0.22554
7708.1034,0,0.32332,0.13767,0.22544,0.32284,0.14452,0.22551
7708.1358,0,0.32294,0.13521,0.22617,0.32287,0.14173,0.22570
7708.1706,0,0.32224,0.13122,0.22724,0.32268,0.13858,0.22617
7708.2107,0,0.31998,0.12602,0.22812,0.32187,0.13481,0.22675
7708.2419,0,0.31919,0.12123,0.22895,0.32106,0.13074,0.22741
7708.2738,0,0.31987,0.11737,0.22864,0.32071,0.12673,0.22778
7708.3068,0,0.31967,0.11391,0.22900,0.32039,0.12288,0.22815
7708.3373,0,0.31659,0.10942,0.22994,0.31925,0.11884,0.22868
7708.3708,0,0.31903,0.10547,0.22987,0.31919,0.11483,0.22904
7708.4026,0,0.31887,0.10170,0.23055,0.31909,0.11089,0.22949
7708.4342,0,0.31756,0.09783,0.23089,0.31863,0.10697,0.22991
7708.4714,0,0.31767,0.09325,0.23106,0.31834,0.10286,0.23026
7708.5028,0,0.31519,0.08888,0.23184,0.31740,0.09866,0.23073
7708.5350,0,0.31296,0.08529,0.23266,0.31607,0.09465,0.23131
7708.5704,0,0.31483,0.08279,0.23298,0.31570,0.09109,0.23181
7708.6024,0,0.31437,0.07950,0.23372,0.31530,0.08761,0.23238
7708.6367,0,0.31609,0.07691,0.23419,0.31554,0.08440,0.23292
7708.6712,0,0.31450,0.07511,0.23486,0.31522,0.08162,0.23351
7708.7034,0,0.31168,0.07180,0.23607,0.31416,0.07867,0.23428
7708.7344,0,0.31178,0.06919,0.23672,0.31345,0.07583,0.23501
7708.7713,0,0.31270,0.06717,0.23733,0.31322,0.07323,0.23570
7708.8060,0,0.31092,0.06484,0.23814,0.31253,0.07071,0.23644
7708.8378,0,0.30891,0.06326,0.23891,0.31145,0.06848,0.23718
7708.8704,0,0.30953,0.06230,0.23886,0.31087,0.06662,0.23768
7708.9029,0,0.30973,0.06099,0.23892,0.31053,0.06493,0.23805
7708.9349,0,0.30883,0.05901,0.23938,0.31002,0.06316,0.23845
7708.9752,0,0.30871,0.05652,0.23936,0.30963,0.06117,0.23872
7709.0068,0,0.31044,0.05451,0.23902,0.30987,0.05917,0.23881
7709.0387,0,0.31255,0.05237,0.23799,0.31067,0.05713,0.23857
