t,seg,rx,ry,rz,fx,fy,fz
3886.7421,0,0.29957,0.06071,0.26164,0.29900,0.06017,0.26173
3886.7731,0,0.30045,0.06100,0.26139,0.29944,0.06042,0.26163
3886.8131,0,0.30061,0.06128,0.26164,0.29979,0.06068,0.26163
3886.8424,0,0.29830,0.06145,0.26184,0.29934,0.06091,0.26169
3886.8735,0,0.29946,0.06156,0.26158,0.29938,0.06111,0.26166
3886.9118,0,0.29948,0.06145,0.26154,0.29941,0.06121,0.26162
3886.9422,0,0.30041,0.06145,0.26128,0.29971,0.06128,0.26152
3886.9744,0,0.29954,0.06151,0.26164,0.29966,0.06135,0.26156
3887.0103,0,0.29919,0.06204,0.26196,0.29952,0.06156,0.26168
3887.0419,0,0.29891,0.06209,0.26232,0.29934,0.06172,0.26187
3887.0741,0,0.29684,0.06262,0.26280,0.29859,0.06199,0.26215
3887.1076,0,0.29675,0.06291,0.26285,0.29804,0.06226,0.26236
3887.1421,0,0.29717,0.06459,0.26282,0.29778,0.06296,0.26250
3887.1757,0,0.29481,0.06558,0.26323,0.29689,0.06375,0.26272
3887.2064,0,0.29340,0.06654,0.26339,0.29584,0.06459,0.26292
3887.2438,0,0.29514,0.06722,0.26308,0.29563,0.06538,0.26297
3887.2737,0,0.29533,0.06765,0.26283,0.29554,0.06606,0.26293
3887.3056,0,0.29560,0.06773,0.26280,0.29556,0.06656,0.26289
3887.3439,0,0.29540,0.06792,0.26282,0.29551,0.06697,0.26287
3887.3743,0,0.29419,0.06809,0.26297,0.29512,0.06730,0.26290
3887.4067,0,0.29549,0.06881,0.26260,0.29523,0.06776,0.26281
3887.4452,0,0.29369,0.06934,0.26238,0.29477,0.06823,0.26268
3887.4786,0,0.29313,0.07020,0.26237,0.29428,0.06882,0.26259
3887.5094,0,0.29162,0.07137,0.26308,0.29348,0.06959,0.26273
3887.5433,0,0.28956,0.07223,0.26353,0.29230,0.07038,0.26297
3887.5741,0,0.28625,0.07243,0.26587,0.29049,0.07099,0.26384
3887.6060,0,0.28619,0.07257,0.26732,0.28920,0.07147,0.26489
3887.6615,0,0.28529,0.07123,0.26887,0.28803,0.07140,0.26608
3887.6921,0,0.28769,0.06834,0.26933,0.28793,0.07048,0.26706
3887.7217,0,0.28579,0.06445,0.26945,0.28728,0.06867,0.26777
3887.7525,0,0.28904,0.05857,0.26823,0.28781,0.06564,0.26791
3887.7840,0,0.28418,0.05223,0.26817,0.28672,0.06162,0.26799
3887.8141,0,0.28839,0.04453,0.26771,0.28722,0.05649,0.26790
3887.8441,0,0.29075,0.03797,0.26759,0.28828,0.05093,0.26781
3887.8740,0,0.29052,0.03363,0.26881,0.28895,0.04574,0.26811
3887.9070,0,0.28864,0.02933,0.26940,0.28886,0.04082,0.26849
3887.9419,0,0.28497,0.02475,0.27062,0.28769,0.03600,0.26913
3887.9758,0,0.28351,0.02085,0.27160,0.28644,0.03145,0.26987
3888.0077,0,0.28277,0.01606,0.27183,0.28534,0.02683,0.27046
3888.0421,0,0.28361,0.01189,0.27176,0.28482,0.02235,0.27085
3888.0778,0,0.28216,0.00610,0.27188,0.28402,0.01747,0.27116
3888.1087,0,0.28141,-0.00019,0.27205,0.28324,0.01217,0.27143
3888.1420,0,0.27850,-0.00609,0.27267,0.28182,0.00670,0.27180
3888.1800,0,0.27638,-0.01181,0.27278,0.28019,0.00115,0.27209
3888.2098,0,0.27604,-0.01765,0.27265,0.27894,-0.00449,0.27226
3888.2428,0,0.27383,-0.02377,0.27264,0.27741,-0.01028,0.27237
3888.2742,0,0.27574,-0.02932,0.27253,0.27691,-0.01599,0.27242
3888.3106,0,0.27612,-0.03456,0.27193,0.27667,-0.02156,0.27227
3888.3411,0,0.27830,-0.04123,0.27137,0.27716,-0.02746,0.27200
3888.3738,0,0.28012,-0.04680,0.27121,0.27805,-0.03326,0.27177
3888.4098,0,0.28243,-0.05277,0.27035,0.27936,-0.03911,0.27134
3888.4420,0,0.28539,-0.05820,0.26973,0.28117,-0.04484,0.27086
3888.4766,0,0.28601,-0.06278,0.26970,0.28262,-0.05022,0.27051
3888.5078,0,0.28660,-0.06668,0.27001,0.28381,-0.05516,0.27036
3888.5421,0,0.28304,-0.07082,0.27073,0.28358,-0.05986,0.27047
3888.5745,0,0.28332,-0.07506,0.27080,0.28350,-0.06442,0.27057
3888.6057,0,0.28430,-0.07808,0.27062,0.28374,-0.06852,0.27058
3888.6590,0,0.28443,-0.08003,0.27036,0.28395,-0.07197,0.27052
3888.6884,0,0.28159,-0.08315,0.27089,0.28324,-0.07532,0.27063
3888.7300,0,0.28247,-0.08670,0.27106,0.28301,-0.07874,0.27076
3888.7596,0,0.28054,-0.09001,0.27172,0.28227,-0.08212,0.27105
3888.7887,0,0.28040,-0.09359,0.27159,0.28171,-0.08556,0.27121
3888.8185,0,0.27846,-0.09892,0.27128,0.28074,-0.08957,0.27123
3888.8491,0,0.27926,-0.10393,0.27036,0.28029,-0.09388,0.27097
3888.8819,0,0.28018,-0.10820,0.26958,0.28026,-0.09817,0.27055
3888.9161,0,0.27944,-0.11283,0.26870,0.28001,-0.10257,0.27000
3888.9481,0,0.27964,-0.11542,0.26841,0.27990,-0.10643,0.26952
3888.9775,0,0.28213,-0.11921,0.26757,0.28057,-0.11026,0.26893
3889.0077,0,0.28014,-0.12190,0.26791,0.28044,-0.11375,0.26863
3889.0419,0,0.28075,-0.12521,0.26789,0.28053,-0.11719,0.26841
3889.0760,0,0.28045,-0.12892,0.26821,0.28051,-0.12071,0.26835
3889.1064,0,0.27953,-0.13233,0.26898,0.28022,-0.12420,0.26854
3889.1424,0,0.27914,-0.13597,0.26949,0.27989,-0.12773,0.26882
3889.1800,0,0.27997,-0.13946,0.26991,0.27992,-0.13125,0.26915
3889.2101,0,0.28071,-0.14331,0.27013,0.28015,-0.13487,0.26945
3889.2405,0,0.27938,-0.14685,0.27111,0.27992,-0.13846,0.26994
3889.2740,0,0.27875,-0.15035,0.27152,0.27957,-0.14203,0.27042
3889.3066,0,0.27800,-0.15250,0.27230,0.27910,-0.14517,0.27098
3889.3442,0,0.27700,-0.15603,0.27301,0.27847,-0.14843,0.27159
3889.3789,0,0.27704,-0.15882,0.27310,0.27804,-0.15155,0.27205
3889.4087,0,0.27638,-0.16317,0.27344,0.27754,-0.15503,0.27246
